strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Wuhan/Hu-1/2019	EPI_ISL_402125	MN908947.3	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang et al (https://dx.doi.org/10.1038/s41586-020-2008-3)
hCoV-19/Taiwan/TSGH-37/2020	EPI_ISL_457733		TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng et al
hCoV-19/Wuhan/WH01/2019	EPI_ISL_406798	LR757998.1	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Weijun Chen et al (https://dx.doi.org/10.1016/S0140-6736(20)30251-8)
hCoV-19/Wuhan/IME-WH03/2019	EPI_ISL_529215	MT291828.1	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Fan et al
hCoV-19/Indonesia/NT-EIJK14/2020	EPI_ISL_766033		RSUD Prof. DR. W. Z. Johannes Kupang	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
hCoV-19/Sweden/20-02114/2020	EPI_ISL_476139		Folkhalsomyndigheten	The Public Health Agency of Sweden	Oskar Karlsson Lindsjo et al
hCoV-19/Australia/VIC02/2020	EPI_ISL_416410		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
hCoV-19/Singapore/17/2020	EPI_ISL_418992		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
hCoV-19/Iceland/13/2020	EPI_ISL_417765	OU161584.1	The National University Hospital of Iceland	deCODE genetics	Daniel F Gudbjartsson et al A (https://dx.doi.org/10.1056/NEJMoa2006100)
hCoV-19/HongKong/HKPU64-1202/2020	EPI_ISL_419232	MT232697.1	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
hCoV-19/Taiwan/TSGH-01/2020	EPI_ISL_426629		TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng et al
hCoV-19/NewZealand/CoV002/2020	EPI_ISL_417212		Dunedin Hospital	University of Otago	M.E. Quiñones-Mateu et al
hCoV-19/Jamaica/JM-CDC-0869/2020	EPI_ISL_450793	MT507271.1	Jamaica Ministry of Health and Wellness	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Yan Li et al
hCoV-19/Brazil/ES-FIOCRUZ-225/2020	EPI_ISL_415128		Laboratório Central de Saúde Pública do Estado do Espírito Santo (LACEN-ES)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al A (https://dx.doi.org/10.1101/2020.06.17.158006)
hCoV-19/Mongolia/3631/2020	EPI_ISL_1805651		National Center for Communicable Diseases (NCCD) National Influenza Center	National Center for Communicable Diseases (NCCD) National Influenza Center	Naranzul Ts et al
hCoV-19/Switzerland/ZH-UZH-1000477102/2020	EPI_ISL_413019	FR990355.1	Department of Internal Medicine, Triemli Hospital	Institute of Medical Virology, University of Zurich	Stefan Schmutz et al
hCoV-19/NewZealand/20VR0770/2020	EPI_ISL_456168	MZ331890.1	Waikato Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
